nome_conta,Date,nome_campanha,tipo_rede_ad,impressoes,cliques,interacoes,conversoes,valor_conversoes,investido
Intelbras - Energia Solar (A7B),2022-12-04,[ES - OG] Leads (Search) - Simulador Solar,CONTENT,34.0,0.0,0.0,0.0,0.0,0.0
Intelbras - Energia Solar (A7B),2022-12-04,[ES - OG] Reconhecimento (Bumper) - Simulador Solar,YOUTUBE_WATCH,539418.5,0.0,0.0,0.0,0.0,1275.4656725
Intelbras - E-commerce (A7B),2022-12-04,PMax: Soluções Residenciais - Smart Shopping - Lâmpada Inteligente - Casa Inteligente - 06/2022,MIXED,188608.0,3424.0,3424.0,88.0,88.0,2486.717688
Intelbras - E-commerce (A7B),2022-12-04,PMax: Soluções Residenciais - Smart Shopping - Fechadura Eletrônica - Casa Inteligente - 06/2022,MIXED,89928.0,1752.0,1752.0,0.0,0.0,1547.076672
Intelbras - E-commerce (A7B),2022-12-04,PMax: [E-COMMERCE] Outras Categorias - Conversão,MIXED,913656.0,10112.0,10112.0,282.2399999999999,282.2399999999999,6227.76
Intelbras - Solução Grandes Empresas (A7B),2022-12-04,AT - Soluções Agro - Reconhecimento de Marca,CONTENT,831164.0,1096.5,1096.5,0.0,0.0,589.0747775
Intelbras - Redes (A7B),2022-12-04,[REDES - FIBRA-ÓPTICA] CONSIDERAÇÃO (youtube) - Fibra Óptica,YOUTUBE_WATCH,31042.0,127.5,22176.5,17.0,17.0,496.392469
Intelbras - Comunicação (A7B),2022-12-04,[CM - EC] Conversão (PMAX) - Wide Voice,MIXED,3765.5,119.0,170.0,8.5,8.5,122.79236
Intelbras - Segurança (A7B),2022-12-04,[SEG - TMR] Tráfego (Search) - Micro SD,SEARCH,36932.5,1139.0,1139.0,0.0,0.0,529.38
Intelbras - Segurança (A7B),2022-12-04,[SEG - TMR] Tráfego (Search) - TMR,SEARCH,27684.5,493.0,493.0,0.0,0.0,134.895
Intelbras - Energia Solar (A7B),2022-12-04,[ES - OG] Leads (Search) - Simulador Solar,SEARCH,69479.0,5703.5,5703.5,1975.8249999999994,1975.8249999999994,10109.56
Intelbras - Comunicação (A7B),2022-12-04,[CM - PRF] Tráfego (Search) - Ambiente de trabalho,SEARCH,26095.0,510.0,510.0,0.0,0.0,906.355
Intelbras - Redes (A7B),2022-12-04,[REDES - HOME-OFFICE] TRÁFEGO (search) - Wi-Force W5 1200 G,SEARCH,11432.5,782.0,782.0,76.5,76.5,368.475
Intelbras - Redes (A7B),2022-12-04,[REDES - CAB-ESTRUT] TRÁFEGO (search) - Racks e Acessórios,SEARCH,4522.0,187.0,187.0,32.385000000000019,32.385000000000019,161.075
Intelbras - E-commerce (A7B),2022-12-04,[EN - FT] Purchase (Search) - Acessórios USB,SEARCH,10616.5,3400.0,3400.0,34.0,34.0,261.63
Intelbras - Segurança (A7B),2022-12-04,[SEG - AS] Leads (Search) - Série 8000,CONTENT,731.0,34.0,34.0,0.0,0.0,12.836377
Intelbras - Energia Solar (A7B),2022-12-04,[ES - OG] Remarketing (Display) - Telegram Solar,CONTENT,3908.0,188.0,188.0,48.0,48.0,201.139032
Intelbras - Controle de Acesso (A7B),2022-12-04,[CONT-ACESS - AUT-PORTÕES] TRÁFEGO (display) - Automatizadores Awareness Remarketing,CONTENT,1164.5,93.5,93.5,57.12,57.12,166.143856
Intelbras - Segurança (A7B),2022-12-04,[SEG - CFTVIP] Visualizações nos Vídeos (In-feed) - CFTV IP Live,YOUTUBE_SEARCH,360.0,0.0,7.5,0.0,0.0,0.375
Intelbras - E-commerce (A7B),2022-12-04,[Casa Inteligente] PMax: Soluções Residenciais - Smart Shopping - Lâmpada Inteligente - Casa Inteligente - 06/2022,MIXED,11788.0,214.0,214.0,5.5,5.5,155.4198555
Intelbras - E-commerce (A7B),2022-12-04,[Casa Inteligente] PMax: Soluções Residenciais - Smart Shopping - Fechadura Eletrônica - Casa Inteligente - 06/2022,MIXED,5620.5,109.5,109.5,0.0,0.0,96.692292
Intelbras - E-commerce (A7B),2022-12-04,PMax: Soluções Residenciais - Smart Shopping - Casa Inteligente - Demais Produtos - 06/2022,MIXED,209208.0,2616.0,2616.0,53.2,53.2,2181.176848
Intelbras - Redes (A7B),2022-12-04,[REDES - HOME-OFFICE] ALCANCE - (youtube) Wi-Force W5 1200 G,YOUTUBE_WATCH,140391.0,184.5,69961.5,31.5,31.5,1027.462374
Intelbras - E-commerce (A7B),2022-12-03,Parceiros - Compra Fácil - Com Instalação - Cidades Pequenas,MIXED,8632.0,64.0,64.0,0.0,0.0,26.64
Intelbras - E-commerce (A7B),2022-12-03,[Casa Inteligente] PMax: Soluções Residenciais - Smart Shopping - Fechadura Eletrônica - Casa Inteligente - 06/2022,MIXED,1868.0,57.5,57.5,0.0,0.0,29.686946
Intelbras - Controle de Acesso (A7B),2022-12-03,[CONT-ACESS - AUT-PORTÕES] TRÁFEGO (search) - Automatizadores Awareness,SEARCH,19983.5,527.0,527.0,17.0,17.0,580.975
Intelbras - Redes (A7B),2022-12-03,[REDES - CAB-ESTRUT] TRÁFEGO (search) - Cabos e passivos,SEARCH,2142.0,102.0,102.0,17.0,17.0,85.17
Intelbras - Segurança (A7B),2022-12-03,[SEG - TMR] Tráfego (Search) - Micro SD,SEARCH,44438.0,1402.5,1402.5,0.0,0.0,747.745
Intelbras - Segurança (A7B),2022-12-03,[SEG - TMR] Tráfego (Search) - BodyCam,SEARCH,4819.5,178.5,178.5,0.0,0.0,133.28
Intelbras - Segurança (A7B),2022-12-03,[SEG - TMR] Tráfego (Search) - TMR,SEARCH,26001.5,722.5,722.5,0.0,0.0,215.73
Intelbras - Controle de Acesso (A7B),2022-12-03,[CONT-ACESS - AUT-PORTÕES] TRÁFEGO (display) - Automatizadores Awareness Remarketing,CONTENT,1113.5,85.0,85.0,25.5,25.5,164.3405385
Intelbras - Energia Solar (A7B),2022-12-03,[ES - OG] Remarketing (Display) - Telegram Solar,CONTENT,7584.0,132.0,132.0,32.0,32.0,94.196028
